endpoint	methods	permission	file:line	in_registry?
apollo/v1/chat/threads/(?P<id>\d+)/mute	POST	$auth	apollo-chat/src/Plugin.php:477	YES
apollo/v1/chat/messages/(?P<id>\d+)/forward	POST	$auth	apollo-chat/src/Plugin.php:488	YES
apollo/v1/chat/threads/(?P<id>\d+)/pin	POST	$auth	apollo-chat/src/Plugin.php:499	YES
apollo/v1/chat/threads/(?P<id>\d+)/pinned	GET	$auth	apollo-chat/src/Plugin.php:510	YES
apollo/v1/chat/thread-for-context	POST	$auth	apollo-chat/src/Plugin.php:521	YES
apollo/v1/chat/gif-search	GET	$auth	apollo-chat/src/Plugin.php:550	YES
apollo/v1/chat/messages/(?P<id>\d+)/report	POST	$auth	apollo-chat/src/Plugin.php:575	YES
apollo/v1/chat/threads/(?P<id>\d+)/export	GET	$auth	apollo-chat/src/Plugin.php:586	YES
apollo/v1/chat/reports	GET	closure	apollo-chat/src/Plugin.php:597	YES
apollo/v1/chat/reports/(?P<id>\d+)/action	POST	closure	apollo-chat/src/Plugin.php:610	YES
apollo/v1/chat/upload	POST	$auth	apollo-chat/src/Plugin.php:623	YES
apollo/v1/search	GET	search_users_permissions_check	apollo-coauthor/src/API/CoauthorController.php:115	YES
apollo/v1/(?P<post_id>[\d]+)	GET	get_items_permissions_check	apollo-coauthor/src/API/CoauthorController.php:58	YES
apollo/v1/(?P<post_id>[\d]+)	PUT,PATCH	update_item_permissions_check	apollo-coauthor/src/API/CoauthorController.php:58	YES
apollo/v1/coauthors/bulk	POST	closure	apollo-coauthor/src/Components/BulkEdit.php:169	YES
apollo_coauthors	N/A	N/A	apollo-coauthor/src/Components/Shortcodes.php:42	DEV_REG
apollo_coauthor_count	N/A	N/A	apollo-coauthor/src/Components/Shortcodes.php:43	DEV_REG
apollo/v1/	GET	__return_true	apollo-comment/src/API/DepoimentoController.php:26	YES
apollo/v1/	POST	create_item_permissions_check	apollo-comment/src/API/DepoimentoController.php:26	YES
apollo/v1/(?P<id>[\d]+)	GET	__return_true	apollo-comment/src/API/DepoimentoController.php:79	YES
apollo/v1/(?P<id>[\d]+)	PUT,PATCH	update_item_permissions_check	apollo-comment/src/API/DepoimentoController.php:79	YES
apollo/v1/(?P<id>[\d]+)	DELETE	delete_item_permissions_check	apollo-comment/src/API/DepoimentoController.php:79	YES
apollo_depoimentos	N/A	N/A	apollo-comment/src/Shortcodes.php:20	DEV_REG
apollo_depoimento_form	N/A	N/A	apollo-comment/src/Shortcodes.php:21	DEV_REG
apollo/v1/rest_base/(?P<id>\d+)/fragmento	GET	__return_true	apollo-core/includes/surface-contract.php:266	NO
apollo/v1/health	GET	__return_true	apollo-core/src/API/HealthController.php:33	YES
apollo/v1/pane-mode/status	GET	__return_true	apollo-core/src/API/PaneModeController.php:31	YES
apollo/v1/pane-mode/enable	POST	check_admin	apollo-core/src/API/PaneModeController.php:42	YES
apollo/v1/pane-mode/disable	POST	check_admin	apollo-core/src/API/PaneModeController.php:53	YES
apollo/v1/registry/inventory-sync	POST	check_admin	apollo-core/src/API/RegistryController.php:106	YES
apollo/v1/registry	GET	check_admin	apollo-core/src/API/RegistryController.php:41	YES
apollo/v1/registry/cpts	GET	__return_true	apollo-core/src/API/RegistryController.php:54	YES
apollo/v1/registry/taxonomies	GET	__return_true	apollo-core/src/API/RegistryController.php:67	YES
apollo/v1/registry/status	GET	__return_true	apollo-core/src/API/RegistryController.php:80	YES
apollo/v1/registry/tables	GET	check_admin	apollo-core/src/API/RegistryController.php:93	YES
apollo/v1/search	GET	__return_true	apollo-core/src/API/SearchController.php:40	YES
apollo/v1/search/	GET	__return_true	apollo-core/src/API/SearchController.php:54	YES
apollo/v1/render	POST	can_render	apollo-core/src/API/ShortcodesController.php:100	YES
apollo/v1/	GET	__return_true	apollo-core/src/API/ShortcodesController.php:70	YES
apollo/v1/(?P<tag>[a-z_]+)	GET	__return_true	apollo-core/src/API/ShortcodesController.php:81	YES
apollo/v1/sounds/popular	GET	__return_true	apollo-core/src/API/SoundController.php:115	YES
apollo/v1/sounds	GET	__return_true	apollo-core/src/API/SoundController.php:42	YES
apollo/v1/sounds/(?P<id>\d+)	GET	__return_true	apollo-core/src/API/SoundController.php:55	YES
apollo/v1/sounds/user	GET	check_logged_in	apollo-core/src/API/SoundController.php:76	YES
apollo/v1/sounds/user	POST	check_logged_in	apollo-core/src/API/SoundController.php:89	YES
UNRESOLVED:ApolloRoute::EVENTS	UNKNOWN	MISSING	apollo-core/src/Config/ApolloRoute.php:10	NO
apollo/v1/dashboard	GET	check_logged_in	apollo-dashboard/includes/class-plugin.php:218	YES
apollo/v1/dashboard/widgets	GET	check_logged_in	apollo-dashboard/includes/class-plugin.php:229	YES
apollo/v1/dashboard/settings	GET	check_logged_in	apollo-dashboard/includes/class-plugin.php:240	YES
apollo/v1/dashboard/layout	GET	check_logged_in	apollo-dashboard/includes/class-plugin.php:251	YES
apollo_dashboard	N/A	N/A	apollo-dashboard/includes/class-plugin.php:79	DEV_REG
apollo_dashboard_menu	N/A	N/A	apollo-dashboard/includes/class-plugin.php:80	DEV_REG
apollo/v1/session	POST	[$this, 'app_token_permission']	apollo-dj-sync/src/API/DJPermissionsController.php:38	YES
apollo/v1/djs/(?P<id>\d+)/eventos	GET	__return_true	apollo-djs/src/API/DJsController.php:115	YES
apollo/v1/djs/por-som/(?P<sound>[a-zA-Z0-9_-]+)	GET	__return_true	apollo-djs/src/API/DJsController.php:126	YES
apollo/v1/djs/buscar	GET	__return_true	apollo-djs/src/API/DJsController.php:137	YES
apollo/v1/djs	GET	__return_true	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	POST	is_dj_creator	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	GET	__return_true	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	PUT,PATCH	can_edit_dj	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	DELETE	can_edit_dj	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	GET	__return_true	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	GET	__return_true	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs	GET	__return_true	apollo-djs/src/API/DJsController.php:36	YES
apollo/v1/djs/(?P<id>\d+)	GET	__return_true	apollo-djs/src/API/DJsController.php:92	YES
apollo/v1/djs/(?P<id>\d+)	PUT,PATCH	can_edit_dj	apollo-djs/src/API/DJsController.php:92	YES
apollo/v1/djs/(?P<id>\d+)	DELETE	can_edit_dj	apollo-djs/src/API/DJsController.php:92	YES
apollo_djs	N/A	N/A	apollo-djs/src/Shortcodes.php:23	DEV_REG
apollo_dj	N/A	N/A	apollo-djs/src/Shortcodes.php:24	DEV_REG
apollo_dj_carousel	N/A	N/A	apollo-djs/src/Shortcodes.php:25	DEV_REG
apollo_add_dj	N/A	N/A	apollo-djs/src/Shortcodes.php:26	DEV_REG
apollo/v1/(?P<id>\d+)/lock	POST	check_logged_in	apollo-docs/src/API/DocsController.php:100	YES
apollo/v1/(?P<id>\d+)/finalize	POST	check_logged_in	apollo-docs/src/API/DocsController.php:111	YES
apollo/v1/(?P<id>\d+)/upload	POST	check_logged_in	apollo-docs/src/API/DocsController.php:122	YES
apollo/v1/upload	POST	check_logged_in	apollo-docs/src/API/DocsController.php:133	YES
apollo/v1/	GET	check_logged_in	apollo-docs/src/API/DocsController.php:22	YES
apollo/v1/	POST	check_logged_in	apollo-docs/src/API/DocsController.php:34	YES
apollo/v1/(?P<id>\d+)	GET	check_logged_in	apollo-docs/src/API/DocsController.php:45	YES
apollo/v1/(?P<id>\d+)	PUT	check_logged_in	apollo-docs/src/API/DocsController.php:56	YES
apollo/v1/(?P<id>\d+)	DELETE	check_logged_in	apollo-docs/src/API/DocsController.php:67	YES
apollo/v1/(?P<id>\d+)/download	GET	check_logged_in	apollo-docs/src/API/DocsController.php:78	YES
apollo/v1/(?P<id>\d+)/versions	GET	check_logged_in	apollo-docs/src/API/DocsController.php:89	YES
apollo/v1/	GET	check_logged_in	apollo-docs/src/API/FoldersController.php:18	YES
apollo/v1/	POST	check_logged_in	apollo-docs/src/API/FoldersController.php:29	YES
apollo/v1/(?P<id>\d+)	PUT	check_logged_in	apollo-docs/src/API/FoldersController.php:40	NO
apollo/v1/(?P<id>\d+)	DELETE	check_admin	apollo-docs/src/API/FoldersController.php:51	NO
apollo/v1/email/stats	GET	check_admin	apollo-email/src/API/EmailController.php:111	YES
apollo/v1/email/queue	GET	check_admin	apollo-email/src/API/EmailController.php:122	YES
apollo/v1/email/queue/(?P<id>\d+)/cancel	POST	check_admin	apollo-email/src/API/EmailController.php:149	YES
apollo/v1/email/queue/(?P<id>\d+)/retry	POST	check_admin	apollo-email/src/API/EmailController.php:159	YES
apollo/v1/email/queue/purge	POST	check_admin	apollo-email/src/API/EmailController.php:169	YES
apollo/v1/email/templates	GET	check_admin	apollo-email/src/API/EmailController.php:187	YES
apollo/v1/email/templates	POST	check_admin	apollo-email/src/API/EmailController.php:187	YES
apollo/v1/email/templates/(?P<id>\d+)	GET	check_admin	apollo-email/src/API/EmailController.php:225	YES
apollo/v1/email/templates/(?P<id>\d+)	PUT	check_admin	apollo-email/src/API/EmailController.php:225	YES
apollo/v1/email/templates/(?P<id>\d+)	DELETE	check_admin	apollo-email/src/API/EmailController.php:225	YES
apollo/v1/email/log	GET	check_admin	apollo-email/src/API/EmailController.php:248	YES
apollo/v1/email/log/purge	POST	check_admin	apollo-email/src/API/EmailController.php:290	YES
apollo/v1/email/track/open/(?P<token>[a-zA-Z0-9]+)	GET	__return_true	apollo-email/src/API/EmailController.php:308	YES
