endpoint	methods	permission	file:line	in_registry?
apollo/v1/chat/messages/(?P<id>\d+)/react	POST	$auth	apollo-chat/src/Plugin.php:168	yes
apollo/v1/chat/messages/(?P<id>\d+)/report	POST	$auth	apollo-chat/src/Plugin.php:347	yes
apollo/v1/chat/more	GET	$auth	apollo-chat/src/Plugin.php:105	yes
apollo/v1/chat/poll	GET	$auth	apollo-chat/src/Plugin.php:93	yes
apollo/v1/chat/presence	POST	$auth	apollo-chat/src/Plugin.php:210	yes
apollo/v1/chat/reports	GET	function ()	apollo-chat/src/Plugin.php:364	yes
apollo/v1/chat/reports/(?P<id>\d+)/action	POST	function ()	apollo-chat/src/Plugin.php:372	yes
apollo/v1/chat/search	GET	$auth	apollo-chat/src/Plugin.php:178	yes
apollo/v1/chat/send	POST	$auth	apollo-chat/src/Plugin.php:78	yes
apollo/v1/chat/thread-for-context	POST	$auth	apollo-chat/src/Plugin.php:285	yes
apollo/v1/chat/threads	GET	$auth	apollo-chat/src/Plugin.php:62	yes
apollo/v1/chat/threads/(?P<id>\d+)	DELETE	$auth	apollo-chat/src/Plugin.php:114	yes
apollo/v1/chat/threads/(?P<id>\d+)	GET	$auth	apollo-chat/src/Plugin.php:73	yes
apollo/v1/chat/threads/(?P<id>\d+)/export	GET	$auth	apollo-chat/src/Plugin.php:357	yes
apollo/v1/chat/threads/(?P<id>\d+)/members	GET	$auth	apollo-chat/src/Plugin.php:232	yes
apollo/v1/chat/threads/(?P<id>\d+)/mute	POST	$auth	apollo-chat/src/Plugin.php:242	yes
apollo/v1/chat/threads/(?P<id>\d+)/older	GET	$auth	apollo-chat/src/Plugin.php:221	yes
apollo/v1/chat/threads/(?P<id>\d+)/pin	POST	$auth	apollo-chat/src/Plugin.php:264	yes
apollo/v1/chat/threads/(?P<id>\d+)/pinned	GET	$auth	apollo-chat/src/Plugin.php:274	yes
apollo/v1/chat/threads/(?P<id>\d+)/read	POST	$auth	apollo-chat/src/Plugin.php:136	yes
apollo/v1/chat/typing	POST	$auth	apollo-chat/src/Plugin.php:127	yes
apollo/v1/chat/unread	GET	$auth	apollo-chat/src/Plugin.php:86	yes
apollo/v1/chat/upload	POST	$auth	apollo-chat/src/Plugin.php:381	yes
apollo/v1/classifieds	GET,POST	'__return_true'	apollo-adverts/src/API/ClassifiedsController.php:16	no
apollo/v1/classifieds/(?P<id>[\d]+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-adverts/src/API/ClassifiedsController.php:40	no
apollo/v1/classifieds/(?P<id>[\d]+)/related	GET	'__return_true'	apollo-adverts/src/RelatedAds.php:63	yes
apollo/v1/classifieds/my	GET	function ()	apollo-adverts/src/API/ClassifiedsController.php:69	no
apollo/v1/classifieds/search	GET	'__return_true'	apollo-adverts/src/API/SearchController.php:19	no
apollo/v1/coauthors/(?P<post_id>[\d]+)	GET,PATCH,POST,PUT	$this, 'get_items_permissions_check'	apollo-coauthor/src/API/CoauthorController.php:19	no
apollo/v1/coauthors/bulk	POST	function ()	apollo-coauthor/src/Components/BulkEdit.php:127	yes
apollo/v1/coauthors/search	GET	$this, 'search_users_permissions_check'	apollo-coauthor/src/API/CoauthorController.php:91	no
apollo/v1/csp-report	POST	'__return_true'	apollo-login/src/Security/SecurityHeaders.php:157	yes
apollo/v1/dashboard	GET	$this, 'check_logged_in'	apollo-dashboard/includes/class-plugin.php:164	yes
apollo/v1/dashboard/layout	GET	$this, 'check_logged_in'	apollo-dashboard/includes/class-plugin.php:195	yes
apollo/v1/dashboard/settings	GET	$this, 'check_logged_in'	apollo-dashboard/includes/class-plugin.php:182	yes
apollo/v1/dashboard/widgets	GET	$this, 'check_logged_in'	apollo-dashboard/includes/class-plugin.php:177	yes
apollo/v1/depo/(?P<user_id>\d+)	GET	'__return_true'	apollo-social/src/Plugin.php:97	yes
apollo/v1/depoimentos	GET,POST	'__return_true'	apollo-comment/src/API/DepoimentoController.php:19	no
apollo/v1/depoimentos/(?P<id>[\d]+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-comment/src/API/DepoimentoController.php:68	no
apollo/v1/dj/config	GET	'__return_true'	apollo-login/src/API/AppAuthController.php:156	yes
apollo/v1/dj/permissions	GET	static function (WP_REST_Request $request): bool|\WP_Error {	apollo-login/src/API/AppAuthController.php:162	yes
apollo/v1/dj/session	POST	[$this	apollo-dj-sync/src/API/DJPermissionsController.php:11	no
apollo/v1/djs	GET,POST	'__return_true'	apollo-djs/src/API/DJsController.php:17	yes
apollo/v1/djs/(?P<id>\d+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-djs/src/API/DJsController.php:76	yes
apollo/v1/djs/(?P<id>\d+)/eventos	GET	'__return_true'	apollo-djs/src/API/DJsController.php:97	yes
apollo/v1/djs/buscar	GET	'__return_true'	apollo-djs/src/API/DJsController.php:114	yes
apollo/v1/djs/por-som/(?P<sound>[a-zA-Z0-9_-]+)	GET	'__return_true'	apollo-djs/src/API/DJsController.php:104	yes
apollo/v1/docs	GET	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:18	no
